lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;consumptief%20-%20horeca;bcc5ccd8-6f9e-4462-9f3e-b48d8471288a;Consumptief - horeca;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;consumptief-breed;bcc5ccd8-6f9e-4462-9f3e-b48d8471288a;Consumptief - horeca;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;dierhouderij%20en%20verzorging;59e44cb3-6e06-4c2d-a4a1-fa254a708f64;Dierhouderij en verzorging;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;grafimedia;3e4c4a78-565c-4e1a-8553-4267ef05b40c;Grafimedia;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;groene%20ruimte;07af53ba-bb6e-4fae-a82d-34a489cffe01;Groene ruimte;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;handel%20en%20administratie;9ce440de-6f00-41f0-88f4-b414314e2ce8;Handel en administratie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;handel%20en%20verkoop;d4ed648e-9542-4092-b6e3-727abdd2ea51;Handel en verkoop;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;ict-route;b4f393ae-a033-4a76-b6e1-0bcbe867dd5a;Ict-route;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;installatietechniek;2bc0df5e-8a3e-4327-993d-7e7d785866b7;Installatietechniek;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;installektro;b4f393ae-a033-4a76-b6e1-0bcbe867dd5a;Ict-route;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;landbouw%20breed;db5b20c4-4e94-4554-8137-a45acb130ad2;Landbouw breed;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;metaaltechniek;de3e7b4c-e4f5-4976-9b8b-65b66bd22635;Metaaltechniek;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;metalektro;11255639-ada3-4df4-99a0-9a6cfdfd7934;Metalektro;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;mode%20en%20commercie;80de344b-6c8d-4594-8413-ee33f9a2bc4b;Mode en commercie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;plantenteelt;c85887b4-c7bb-46ae-882d-3215a3c0411f;Plantenteelt;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;sport%20dienstverlening%20en%20veiligheid;8aa21fc6-4da8-4bdf-9de2-d9e5e707d003;Sport, dienstverlening en veiligheid;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;techniek%20breed;391cc969-81fa-4d30-940b-68714fb50b5e;Techniek breed;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;technologie%20in%20de%20gemengde%20leerweg;433a3b22-32a2-4136-93f4-35bd369f9b1b;Technologie in de gemengde leerweg;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;transport%20en%20logistiek;9ca10565-ec88-44b7-abc2-582dfdea5abc;Transport en logistiek;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;uiterlijke%20verzorging;4c5ca35d-a5b7-4408-af1f-9bbbcf96caa6;Uiterlijke verzorging;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;verwerking%20agrarische%20producten;a583552a-1732-435b-9354-21bb39646b1f;Verwerking agrarische producten;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;voertuigentechniek;ab706abb-1f4a-4860-93c1-1d5ef63ea3b5;Voertuigentechniek;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;zorg%20en%20welzijn%20breed;750580b3-11c3-46a8-9bc2-dd5a6e7612b6;Zorg en welzijn breed;discipline
